id,ts,user_id,user_age,user_gender,user_education,poem_title,image_path,image_type,q1_1_right_answer,phase1_response_ms,answers_json,phase2_response_ms,total_response_ms
7897,2026-02-23T21:14:25.538545,高大王,32,女,硕士,夜归鹿门山歌,/home/ubuntu/workspace/image_voting_system/all_images/夜归鹿门山歌_gpt.jpg,gpt,A,50834,"{""q1-2"": ""c"", ""q1-1"": ""A"", ""q2-1"": ""a"", ""q2-2"": ""b"", ""q2-3"": ""b"", ""q2-4"": ""b"", ""q2-5"": ""a"", ""q2-6"": ""c"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""c""}",44681,95515
7898,2026-02-23T21:16:05.598482,BZ4,30,男,博士,杂诗·近寒食雨草萋萋,/home/ubuntu/workspace/image_voting_system/all_images/杂诗·近寒食雨草萋萋_gpt.jpg,gpt,A,17789,"{""q1-2"": ""a"", ""q1-1"": ""A"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""a"", ""q2-4"": ""a"", ""q2-5"": ""a"", ""q2-6"": ""a"", ""q2-7"": ""d"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""a""}",376645,394434
7899,2026-02-23T21:18:03.668544,BZ4,30,男,博士,秦中感秋寄远上人,/home/ubuntu/workspace/image_voting_system/all_images/秦中感秋寄远上人_mj.jpg,mj,B,62124,"{""q1-2"": ""b"", ""q1-1"": ""A"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""a"", ""q2-4"": ""b"", ""q2-5"": ""b"", ""q2-6"": ""d"", ""q2-7"": ""d"", ""q2-8"": ""b"", ""q2-9"": ""a"", ""q2-10"": ""c""}",55948,118072
7900,2026-02-23T21:18:51.244253,BZ4,30,男,博士,登岳阳楼,/home/ubuntu/workspace/image_voting_system/all_images/登岳阳楼_seedream.jpg,seedream,C,25792,"{""q1-2"": ""a"", ""q1-1"": ""C"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""a"", ""q2-4"": ""a"", ""q2-5"": ""a"", ""q2-6"": ""a"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""a""}",20397,46189
7901,2026-02-23T21:20:14.706182,BZ4,30,男,博士,与诸子登岘山,/home/ubuntu/workspace/image_voting_system/all_images/与诸子登岘山_gpt.jpg,gpt,A,53319,"{""q1-2"": ""b"", ""q1-1"": ""A"", ""q2-1"": ""a"", ""q2-2"": ""b"", ""q2-3"": ""a"", ""q2-4"": ""b"", ""q2-5"": ""a"", ""q2-6"": ""a"", ""q2-7"": ""d"", ""q2-8"": ""a"", ""q2-9"": ""b"", ""q2-10"": ""b""}",30143,83462
7902,2026-02-23T21:21:16.296273,BZ4,30,男,博士,桃源行,/home/ubuntu/workspace/image_voting_system/all_images/桃源行_gpt.jpg,gpt,D,27684,"{""q1-2"": ""a"", ""q1-1"": ""C"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""a"", ""q2-4"": ""a"", ""q2-5"": ""a"", ""q2-6"": ""c"", ""q2-7"": ""d"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""a""}",33906,61590
7903,2026-02-23T21:22:28.323070,BZ4,30,男,博士,奉和圣制从蓬莱向兴庆阁道中留春雨中春望之作应制,/home/ubuntu/workspace/image_voting_system/all_images/奉和圣制从蓬莱向兴庆阁道中留春雨中春望之作应制_gpt.jpg,gpt,A,50676,"{""q1-2"": ""a"", ""q1-1"": ""A"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""a"", ""q2-4"": ""a"", ""q2-5"": ""a"", ""q2-6"": ""b"", ""q2-7"": ""d"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""a""}",21351,72027
7904,2026-02-23T21:23:08.430675,BZ4,30,男,博士,咏怀古迹五首·其三,/home/ubuntu/workspace/image_voting_system/all_images/咏怀古迹五首·其三_seedream.jpg,seedream,A,17378,"{""q1-2"": ""a"", ""q1-1"": ""A"", ""q2-1"": ""a"", ""q2-2"": ""b"", ""q2-3"": ""a"", ""q2-4"": ""a"", ""q2-5"": ""a"", ""q2-6"": ""a"", ""q2-7"": ""d"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""b""}",22730,40108
7905,2026-02-23T21:24:27.458344,BZ4,30,男,博士,听董大弹胡笳声兼寄语弄房给事,/home/ubuntu/workspace/image_voting_system/all_images/听董大弹胡笳声兼寄语弄房给事_nano.jpg,nano,D,58243,"{""q1-2"": ""b"", ""q1-1"": ""D"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""a"", ""q2-4"": ""a"", ""q2-5"": ""a"", ""q2-6"": ""a"", ""q2-7"": ""d"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""a""}",19580,77823
7906,2026-02-23T21:25:13.376590,BZ4,30,男,博士,秋日登吴公台上寺远眺,/home/ubuntu/workspace/image_voting_system/all_images/秋日登吴公台上寺远眺_nano.jpg,nano,B,23347,"{""q1-2"": ""a"", ""q1-1"": ""B"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""a"", ""q2-4"": ""a"", ""q2-5"": ""a"", ""q2-6"": ""a"", ""q2-7"": ""d"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""a""}",22572,45919
