image_path,rating_count
/home/ubuntu/workspace/image_voting_system/all_images/终南别业_seedream.jpg,12
/home/ubuntu/workspace/image_voting_system/all_images/芙蓉楼送辛渐_nano.jpg,12
/home/ubuntu/workspace/image_voting_system/all_images/苏武庙_mj.jpg,12
/home/ubuntu/workspace/image_voting_system/all_images/落花_nano.jpg,12
/home/ubuntu/workspace/image_voting_system/all_images/赋得暮雨送李胄_mj.jpg,12
/home/ubuntu/workspace/image_voting_system/all_images/近试上张水部_mj.jpg,12
/home/ubuntu/workspace/image_voting_system/all_images/送綦毋潜落第还乡_mj.jpg,12
/home/ubuntu/workspace/image_voting_system/all_images/长信秋词五首·其三_mj.jpg,12
/home/ubuntu/workspace/image_voting_system/all_images/长相思·其一_mj.jpg,12
/home/ubuntu/workspace/image_voting_system/all_images/长相思·其二_nano.jpg,12
/home/ubuntu/workspace/image_voting_system/all_images/韩碑_nano.jpg,12
/home/ubuntu/workspace/image_voting_system/all_images/饯别王十一南游_gpt.jpg,12
/home/ubuntu/workspace/image_voting_system/all_images/黄鹤楼_mj.jpg,12
/home/ubuntu/workspace/image_voting_system/all_images/与高适薛据同登慈恩寺浮图_gpt.jpg,11
/home/ubuntu/workspace/image_voting_system/all_images/为有_mj.jpg,11
/home/ubuntu/workspace/image_voting_system/all_images/八月十五夜赠张功曹_gpt.jpg,11
/home/ubuntu/workspace/image_voting_system/all_images/八月十五夜赠张功曹_mj.jpg,11
/home/ubuntu/workspace/image_voting_system/all_images/凉州词_nano.jpg,11
/home/ubuntu/workspace/image_voting_system/all_images/听董大弹胡笳声兼寄语弄房给事_nano.jpg,11
/home/ubuntu/workspace/image_voting_system/all_images/和张仆射塞下曲·其四_gpt.jpg,11
/home/ubuntu/workspace/image_voting_system/all_images/咏怀古迹五首·其五_seedream.jpg,11
/home/ubuntu/workspace/image_voting_system/all_images/在狱咏蝉_mj.jpg,11
/home/ubuntu/workspace/image_voting_system/all_images/塞下曲·蝉鸣空桑林_gpt.jpg,11
/home/ubuntu/workspace/image_voting_system/all_images/塞下曲·蝉鸣空桑林_seedream.jpg,11
/home/ubuntu/workspace/image_voting_system/all_images/夏日南亭怀辛大_nano.jpg,11
/home/ubuntu/workspace/image_voting_system/all_images/孤雁二首·其二_nano.jpg,11
/home/ubuntu/workspace/image_voting_system/all_images/客夜与故人偶集_gpt.jpg,11
/home/ubuntu/workspace/image_voting_system/all_images/客至_gpt.jpg,11
/home/ubuntu/workspace/image_voting_system/all_images/宿府_mj.jpg,11
/home/ubuntu/workspace/image_voting_system/all_images/山居秋暝_seedream.jpg,11
/home/ubuntu/workspace/image_voting_system/all_images/岁暮归南山_nano.jpg,11
/home/ubuntu/workspace/image_voting_system/all_images/感遇十二首·其一_gpt.jpg,11
/home/ubuntu/workspace/image_voting_system/all_images/感遇十二首·其七_nano.jpg,11
/home/ubuntu/workspace/image_voting_system/all_images/感遇十二首·其二_seedream.jpg,11
/home/ubuntu/workspace/image_voting_system/all_images/早秋三首·其一_nano.jpg,11
/home/ubuntu/workspace/image_voting_system/all_images/春思·莺啼燕语报新年_nano.jpg,11
/home/ubuntu/workspace/image_voting_system/all_images/杂诗三首·其三_seedream.jpg,11
/home/ubuntu/workspace/image_voting_system/all_images/桃源行_seedream.jpg,11
/home/ubuntu/workspace/image_voting_system/all_images/江州重别薛六柳八二员外_gpt.jpg,11
/home/ubuntu/workspace/image_voting_system/all_images/江雪_mj.jpg,11
/home/ubuntu/workspace/image_voting_system/all_images/江雪_nano.jpg,11
/home/ubuntu/workspace/image_voting_system/all_images/秋夕_gpt.jpg,11
/home/ubuntu/workspace/image_voting_system/all_images/秋夜寄邱员外_gpt.jpg,11
/home/ubuntu/workspace/image_voting_system/all_images/秋登兰山寄张五_mj.jpg,11
/home/ubuntu/workspace/image_voting_system/all_images/积雨辋川庄作_gpt.jpg,11
/home/ubuntu/workspace/image_voting_system/all_images/筹笔驿_nano.jpg,11
/home/ubuntu/workspace/image_voting_system/all_images/赠别二首·其二_seedream.jpg,11
/home/ubuntu/workspace/image_voting_system/all_images/辋川闲居赠裴秀才迪_seedream.jpg,11
/home/ubuntu/workspace/image_voting_system/all_images/送杨氏女_gpt.jpg,11
/home/ubuntu/workspace/image_voting_system/all_images/送陈章甫_gpt.jpg,11
/home/ubuntu/workspace/image_voting_system/all_images/遣怀_gpt.jpg,11
/home/ubuntu/workspace/image_voting_system/all_images/长干行·其一_nano.jpg,11
/home/ubuntu/workspace/image_voting_system/all_images/长干行·其一_seedream.jpg,11
/home/ubuntu/workspace/image_voting_system/all_images/青溪_gpt.jpg,11
/home/ubuntu/workspace/image_voting_system/all_images/韩碑_mj.jpg,11
/home/ubuntu/workspace/image_voting_system/all_images/风雨_seedream.jpg,11
/home/ubuntu/workspace/image_voting_system/all_images/八阵图_nano.jpg,10
/home/ubuntu/workspace/image_voting_system/all_images/北青萝_mj.jpg,10
/home/ubuntu/workspace/image_voting_system/all_images/古意_seedream.jpg,10
/home/ubuntu/workspace/image_voting_system/all_images/听安万善吹觱篥歌_mj.jpg,10
/home/ubuntu/workspace/image_voting_system/all_images/和张仆射塞下曲·其一_gpt.jpg,10
/home/ubuntu/workspace/image_voting_system/all_images/咏怀古迹五首·其三_seedream.jpg,10
/home/ubuntu/workspace/image_voting_system/all_images/哥舒歌_gpt.jpg,10
/home/ubuntu/workspace/image_voting_system/all_images/夏日南亭怀辛大_mj.jpg,10
/home/ubuntu/workspace/image_voting_system/all_images/夜上受降城闻笛_mj.jpg,10
/home/ubuntu/workspace/image_voting_system/all_images/夜泊牛渚怀古_mj.jpg,10
/home/ubuntu/workspace/image_voting_system/all_images/子夜吴歌·夏歌_seedream.jpg,10
/home/ubuntu/workspace/image_voting_system/all_images/客至_mj.jpg,10
/home/ubuntu/workspace/image_voting_system/all_images/宫词·寂寂花时闭院门_nano.jpg,10
/home/ubuntu/workspace/image_voting_system/all_images/宫词·长乐宫连上苑春_mj.jpg,10
/home/ubuntu/workspace/image_voting_system/all_images/宿业师山房期丁大不至_gpt.jpg,10
/home/ubuntu/workspace/image_voting_system/all_images/宿建德江_gpt.jpg,10
/home/ubuntu/workspace/image_voting_system/all_images/寄全椒山中道士_gpt.jpg,10
/home/ubuntu/workspace/image_voting_system/all_images/寄全椒山中道士_nano.jpg,10
/home/ubuntu/workspace/image_voting_system/all_images/寻陆鸿渐不遇_seedream.jpg,10
/home/ubuntu/workspace/image_voting_system/all_images/怨情_seedream.jpg,10
/home/ubuntu/workspace/image_voting_system/all_images/早秋三首·其一_mj.jpg,10
/home/ubuntu/workspace/image_voting_system/all_images/早秋三首·其一_seedream.jpg,10
/home/ubuntu/workspace/image_voting_system/all_images/春宫怨_mj.jpg,10
/home/ubuntu/workspace/image_voting_system/all_images/晚次鄂州_seedream.jpg,10
/home/ubuntu/workspace/image_voting_system/all_images/月夜·更深月色半人家_nano.jpg,10
