id,ts,user_id,user_age,user_gender,user_education,poem_title,image_path,image_type,q1_1_right_answer,phase1_response_ms,answers_json,phase2_response_ms,total_response_ms
18,2026-03-01T01:13:35.428610,whu,31,男,硕士,送李少府贬峡中王少府贬长沙,/home/ubuntu/workspace/image_voting_system/all_images/送李少府贬峡中王少府贬长沙_seedream.jpg,seedream,D,40885,"{""q1-2"": ""a"", ""q1-1"": ""D"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""b"", ""q2-4"": ""a"", ""q2-5"": ""a"", ""q2-6"": ""d"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""c""}",37273,78158
19,2026-03-01T01:14:44.496285,whu,31,男,硕士,听筝,/home/ubuntu/workspace/image_voting_system/all_images/听筝_mj.jpg,mj,D,27869,"{""q1-2"": ""a"", ""q1-1"": ""D"", ""q2-1"": ""a"", ""q2-2"": ""b"", ""q2-3"": ""b"", ""q2-4"": ""a"", ""q2-5"": ""a"", ""q2-6"": ""b"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""b""}",41198,69067
20,2026-03-01T01:16:41.295683,whu,31,男,硕士,秋日赴阙题潼关驿楼,/home/ubuntu/workspace/image_voting_system/all_images/秋日赴阙题潼关驿楼_mj.jpg,mj,A,66873,"{""q1-2"": ""d"", ""q1-1"": ""B"", ""q2-1"": ""a"", ""q2-2"": ""b"", ""q2-3"": ""a"", ""q2-4"": ""c"", ""q2-5"": ""c"", ""q2-6"": ""d"", ""q2-7"": ""a"", ""q2-8"": ""b"", ""q2-9"": ""a"", ""q2-10"": ""e""}",49927,116800
21,2026-03-01T01:17:28.345237,whu,31,男,硕士,送杨氏女,/home/ubuntu/workspace/image_voting_system/all_images/送杨氏女_nano.jpg,nano,A,20199,"{""q1-2"": ""a"", ""q1-1"": ""A"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""b"", ""q2-4"": ""a"", ""q2-5"": ""a"", ""q2-6"": ""a"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""b""}",26850,47049
22,2026-03-01T02:19:17.434700,whu,31,男,硕士,蝉,/home/ubuntu/workspace/image_voting_system/all_images/蝉_mj.jpg,mj,C,18599,"{""q1-2"": ""d"", ""q1-1"": ""B"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""a"", ""q2-4"": ""d"", ""q2-5"": ""d"", ""q2-6"": ""f"", ""q2-7"": ""b"", ""q2-8"": ""b"", ""q2-9"": ""c"", ""q2-10"": ""e""}",63081,81680
23,2026-03-01T02:20:29.668931,whu,31,男,硕士,蜀先主庙,/home/ubuntu/workspace/image_voting_system/all_images/蜀先主庙_nano.jpg,nano,D,33524,"{""q1-2"": ""a"", ""q1-1"": ""D"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""b"", ""q2-4"": ""b"", ""q2-5"": ""e"", ""q2-6"": ""b"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""b""}",38710,72234
24,2026-03-01T02:22:06.964311,whu,31,男,硕士,古从军行,/home/ubuntu/workspace/image_voting_system/all_images/古从军行_mj.jpg,mj,B,50707,"{""q1-2"": ""c"", ""q1-1"": ""B"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""b"", ""q2-4"": ""c"", ""q2-5"": ""c"", ""q2-6"": ""d"", ""q2-7"": ""a"", ""q2-8"": ""d"", ""q2-9"": ""a"", ""q2-10"": ""e""}",46589,97296
25,2026-03-01T02:23:23.425535,whu,31,男,硕士,咏怀古迹五首·其四,/home/ubuntu/workspace/image_voting_system/all_images/咏怀古迹五首·其四_mj.jpg,mj,A,40483,"{""q1-2"": ""b"", ""q1-1"": ""A"", ""q2-1"": ""a"", ""q2-2"": ""b"", ""q2-3"": ""a"", ""q2-4"": ""b"", ""q2-5"": ""b"", ""q2-6"": ""d"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""c"", ""q2-10"": ""d""}",35978,76461
26,2026-03-01T02:24:24.582524,whu,31,男,硕士,望月怀远,/home/ubuntu/workspace/image_voting_system/all_images/望月怀远_mj.jpg,mj,D,26216,"{""q1-2"": ""c"", ""q1-1"": ""D"", ""q2-1"": ""a"", ""q2-2"": ""b"", ""q2-3"": ""c"", ""q2-4"": ""d"", ""q2-5"": ""c"", ""q2-6"": ""d"", ""q2-7"": ""b"", ""q2-8"": ""a"", ""q2-9"": ""c"", ""q2-10"": ""e""}",34939,61155
27,2026-03-01T02:26:48.046606,whu,31,男,硕士,送魏万之京,/home/ubuntu/workspace/image_voting_system/all_images/送魏万之京_mj.jpg,mj,B,108724,"{""q1-2"": ""d"", ""q1-1"": ""A"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""a"", ""q2-4"": ""d"", ""q2-5"": ""d"", ""q2-6"": ""d"", ""q2-7"": ""a"", ""q2-8"": ""d"", ""q2-9"": ""b"", ""q2-10"": ""e""}",34741,143465
28,2026-03-01T02:28:12.513709,whu,31,男,硕士,赠卫八处士,/home/ubuntu/workspace/image_voting_system/all_images/赠卫八处士_mj.jpg,mj,C,12695,"{""q1-2"": ""c"", ""q1-1"": ""C"", ""q2-1"": ""a"", ""q2-2"": ""c"", ""q2-3"": ""b"", ""q2-4"": ""c"", ""q2-5"": ""d"", ""q2-6"": ""b"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""c"", ""q2-10"": ""d""}",71773,84468
29,2026-03-01T02:30:17.605007,whu,31,男,硕士,送綦毋潜落第还乡,/home/ubuntu/workspace/image_voting_system/all_images/送綦毋潜落第还乡_seedream.jpg,seedream,B,91393,"{""q1-2"": ""b"", ""q1-1"": ""B"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""b"", ""q2-4"": ""b"", ""q2-5"": ""a"", ""q2-6"": ""a"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""c""}",33698,125091
30,2026-03-01T02:31:30.181255,whu,31,男,硕士,新年作,/home/ubuntu/workspace/image_voting_system/all_images/新年作_mj.jpg,mj,D,19122,"{""q1-2"": ""c"", ""q1-1"": ""D"", ""q2-1"": ""a"", ""q2-2"": ""b"", ""q2-3"": ""b"", ""q2-4"": ""c"", ""q2-5"": ""c"", ""q2-6"": ""d"", ""q2-7"": ""b"", ""q2-8"": ""a"", ""q2-9"": ""b"", ""q2-10"": ""e""}",53455,72577
