id,ts,user_id,user_age,user_gender,user_education,poem_title,image_path,image_type,q1_1_right_answer,phase1_response_ms,answers_json,phase2_response_ms,total_response_ms
246,2026-01-30T06:32:04.927650,小张,40,女,本科,望洞庭湖赠张丞相,/home/ubuntu/workspace/image_voting_system/all_images/望洞庭湖赠张丞相_gpt.jpg,gpt,A,25342,"{""q1-2"": ""b"", ""q1-1"": ""D"", ""q2-1"": ""a"", ""q2-2"": ""b"", ""q2-3"": ""b"", ""q2-4"": ""b"", ""q2-5"": ""b"", ""q2-6"": ""b"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""a""}",33000,58342
247,2026-01-30T06:32:27.178024,露,33,女,大专,凉思,/home/ubuntu/workspace/image_voting_system/all_images/凉思_seedream.jpg,seedream,B,11309,"{""q1-2"": ""a"", ""q1-1"": ""B"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""a"", ""q2-4"": ""a"", ""q2-5"": ""a"", ""q2-6"": ""a"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""a""}",30211,41520
248,2026-01-30T06:32:28.848922,平冉,7,男,小学,登楼,/home/ubuntu/workspace/image_voting_system/all_images/登楼_seedream.jpg,seedream,B,23621,"{""q1-2"": ""a"", ""q1-1"": ""B"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""a"", ""q2-4"": ""a"", ""q2-5"": ""a"", ""q2-6"": ""a"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""a""}",10185,33806
249,2026-01-30T06:32:52.709339,小张,40,女,本科,征怨,/home/ubuntu/workspace/image_voting_system/all_images/征怨_gpt.jpg,gpt,D,26728,"{""q1-2"": ""a"", ""q1-1"": ""B"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""a"", ""q2-4"": ""a"", ""q2-5"": ""a"", ""q2-6"": ""b"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""a""}",21054,47782
250,2026-01-30T06:33:01.188323,露,33,女,大专,闺怨,/home/ubuntu/workspace/image_voting_system/all_images/闺怨_mj.jpg,mj,A,21195,"{""q1-2"": ""a"", ""q1-1"": ""A"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""a"", ""q2-4"": ""a"", ""q2-5"": ""a"", ""q2-6"": ""a"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""a""}",12816,34011
251,2026-01-30T06:33:10.692912,平冉,7,男,小学,和晋陵陆丞早春游望,/home/ubuntu/workspace/image_voting_system/all_images/和晋陵陆丞早春游望_gpt.jpg,gpt,C,31655,"{""q1-2"": ""a"", ""q1-1"": ""C"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""a"", ""q2-4"": ""a"", ""q2-5"": ""a"", ""q2-6"": ""a"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""a""}",10189,41844
252,2026-01-30T06:33:17.236620,Luke s,32,女,高中,赋得古原草送别,/home/ubuntu/workspace/image_voting_system/all_images/赋得古原草送别_nano.jpg,nano,D,42751,"{""q1-2"": ""a"", ""q1-1"": ""B"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""a"", ""q2-4"": ""a"", ""q2-5"": ""a"", ""q2-6"": ""a"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""a""}",23410,66161
253,2026-01-30T06:33:50.700503,Luke s,32,女,高中,溪居,/home/ubuntu/workspace/image_voting_system/all_images/溪居_gpt.jpg,gpt,D,10909,"{""q1-2"": ""a"", ""q1-1"": ""A"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""a"", ""q2-4"": ""a"", ""q2-5"": ""a"", ""q2-6"": ""a"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""a""}",22555,33464
254,2026-01-30T06:33:59.604436,睿睿,30,男,本科,送杜少府之任蜀州,/home/ubuntu/workspace/image_voting_system/all_images/送杜少府之任蜀州_mj.jpg,mj,C,44838,"{""q1-2"": ""d"", ""q1-1"": ""C"", ""q2-1"": ""a"", ""q2-3"": ""b"", ""q2-4"": ""c"", ""q2-5"": ""b"", ""q2-6"": ""d"", ""q2-7"": ""b"", ""q2-8"": ""b"", ""q2-9"": ""b"", ""q2-10"": ""c"", ""q2-2"": ""b""}",74515,119353
255,2026-01-30T06:34:03.617930,兔,51,男,本科,和晋陵陆丞早春游望,/home/ubuntu/workspace/image_voting_system/all_images/和晋陵陆丞早春游望_mj.jpg,mj,A,56407,"{""q1-2"": ""a"", ""q1-1"": ""A"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""a"", ""q2-4"": ""a"", ""q2-5"": ""a"", ""q2-6"": ""a"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""a""}",35075,91482
